cx_q2,Question Placement,Web,Dealership
It was a bit difficult to get ro the right person at first.,Begin of Survey,FALSE,TRUE
"Very brief encounter with the dealership before I arrived to look at the car.  Was handed off from initial contact person to another sales person.  So, I go the information I requested, but had to start over with someone else.",End of Survey,FALSE,TRUE
Very responsive,End of Survey,FALSE,TRUE
"Again, prompt response and good communication with sales rep",End of Survey,FALSE,TRUE
Salesman called and offered help finding my truck,Begin of Survey,FALSE,TRUE
When I ask for a King Ranch I do not want an XL,Begin of Survey,FALSE,FALSE
fast follow up on the vehicles I was interested in.  In fact usually replyied in minutes.  Had vehicles in stock.  Had several vehicles of interest.  Price was in range through email communications so it warrented a drive to this dealership.,Begin of Survey,FALSE,TRUE
Polite and courteous staff.,End of Survey,FALSE,TRUE
Fast  call back,End of Survey,FALSE,TRUE
No follow up,End of Survey,FALSE,FALSE
Quick response.,Begin of Survey,FALSE,TRUE
Personal was very attentive and addressed all of our concerns.,End of Survey,FALSE,TRUE
Ford Company focused on the people not just the cars they are saling. I never had issues with Ford.,End of Survey,FALSE,TRUE
Received an immediate response from a Varsity Lincoln dealership rep.  She listened carefully and was very polite and understanding of my wishes.,Begin of Survey,FALSE,TRUE
"Prompt follow up, great info and got me scheduled to test drive the car I wanted",Begin of Survey,FALSE,TRUE
I received immediate response to inquiries including pix emailed to me of the car in question,Begin of Survey,FALSE,TRUE
"I built a specific 2018 vehicle online on ford website and the contact dealer chosen through the website was not given the specific build details. When I searched current ford stock, no vehicles were found online matching the specific build according to the website. So obviously I need to special order the vehicle.  I decided to walk into a ford dealership and showed them a printed copy of the 2018 build that I had done online. I was informed by a sales person that none are available and only 2019 models can be special ordered. They helped me build a 2019 model and priced it for me.",Begin of Survey,TRUE,TRUE
Love the website and the Dealership.,Begin of Survey,TRUE,TRUE
The website was very confusing to me. Couldn't maneuver it well,Begin of Survey,TRUE,FALSE
The salesman did not do what he said he would do which was email me vehicle price and availability information even though I told him I'm ready to buy!,End of Survey,FALSE,TRUE
At this stage in the process I am pleased with the response from the Ford dealer,End of Survey,FALSE,TRUE
Easy clear instructions and contacted by sales immediately,Begin of Survey,FALSE,TRUE
I was never contacted by a rep from Silsbee Ford and have since purchased a new vehicle from Philpott Ford,End of Survey,FALSE,TRUE
Fast response and efficient sale experience.,Begin of Survey,FALSE,TRUE
No contact what so ever,End of Survey,FALSE,FALSE
"Could not pin down an e-price, got a bit of a runaround, ended up at a different dealer",Begin of Survey,FALSE,TRUE
A rep got back to me immediately but I was busy,Begin of Survey,FALSE,TRUE
No good service,End of Survey,FALSE,FALSE
Overall it was an easy process and I got most of the information I was looking for,End of Survey,FALSE,FALSE
Did get the car,End of Survey,FALSE,FALSE
Outstanding performance A+,Begin of Survey,FALSE,FALSE
Immediate response. Very knowledgeable.,Begin of Survey,FALSE,TRUE
It was just fine,Begin of Survey,FALSE,FALSE
i was satisfied,End of Survey,FALSE,FALSE
"I heard back from several sales reps by pone and two by e-mail. I really wanted to first see what the Ford Focus inventory looked like in the Cincinnati area but the ""Ford"" software makes me go trough a sales rep. So I pick one that prompt, closely and polite.",End of Survey,FALSE,TRUE
He respected my time and listened to my request,End of Survey,FALSE,FALSE
"No options except new cars, looking for used 2013 on up",Begin of Survey,FALSE,FALSE
Quick response with good service,Begin of Survey,FALSE,TRUE
"Pat Marques provided us an excellent experience from initiation of our online request to finishing the deal and taking home the car we wanted with every detail we ere looking for. Pat was friendly, honest, sincere, and professional throughout our whole interaction with him. He had excellent follow-up and follow through and was super nice to our young boys that accompanied us as we searched for our new car. Would highly recommend Pat in a heartbeat.",Begin of Survey,TRUE,TRUE
Quick response time and information provided was great.,Begin of Survey,FALSE,TRUE
Very nice salesman,Begin of Survey,FALSE,TRUE
The salesperson said she would get me a number on my trade and I didn't hear back until I contacted another salesperson about another vehicle.,Begin of Survey,FALSE,TRUE
Quick response,Begin of Survey,FALSE,TRUE
I had filled out a trade in value and used a new pickup as the vehicle that I wanting to get.  I visited the dealer on Monday of this week so maybe that is why they didn't contact me.   Auto park Ford had a great truck but just wouldn't give me enough for my Ranger.,End of Survey,TRUE,TRUE
I never got yhe quote,End of Survey,TRUE,FALSE
"Well that would be because I  received excellent customer service,  I am very pleased with my experience.",End of Survey,FALSE,FALSE
Great service.  Armand was great!,Begin of Survey,FALSE,FALSE
Got a quick response and all questions answered,End of Survey,FALSE,TRUE
Received a response quickly.,Begin of Survey,FALSE,TRUE
Quick response by a salesman (Cameron).  We learned a lot.,End of Survey,FALSE,TRUE
Nobody called me,End of Survey,FALSE,TRUE
Response time was very good.,End of Survey,FALSE,TRUE
Very easy way to submit the request.,Begin of Survey,TRUE,FALSE
Good experience on all of it,End of Survey,FALSE,FALSE
Everything i submitted was easy to do,Begin of Survey,TRUE,FALSE
They were up front and cooperative the whole process,Begin of Survey,FALSE,FALSE
They answered very well. Pleasant,Begin of Survey,FALSE,TRUE
They said that I would have to drive 35 miles to go into their office to get a price.,Begin of Survey,FALSE,FALSE
tried to accommodate my busy schedule to arrange a test drive,Begin of Survey,FALSE,FALSE
Only talked on the phone not in person,Begin of Survey,FALSE,TRUE
Never was contacted by a Rep,End of Survey,FALSE,TRUE
Roy Dooley,End of Survey,FALSE,FALSE
Everyone was very nice and helpful.,End of Survey,FALSE,FALSE
already did,End of Survey,FALSE,FALSE
"I was suppose to get an email confirmation detailing my conversations with both of the ""CHAT"" people that I conversed with and that did not happen.",End of Survey,FALSE,TRUE
N,End of Survey,FALSE,FALSE
Useful,End of Survey,FALSE,FALSE
Because Toliver Ford always takes good care of me and gives me the best deal,Begin of Survey,FALSE,FALSE
"the response time was great I just wish I would have been told that the price on the internet was not correct and that that the real price was $10,000 higher then advertised",End of Survey,TRUE,TRUE
It was a great experience to get a new car,Begin of Survey,FALSE,FALSE
I was told right away what was happening,Begin of Survey,FALSE,TRUE
Received a very rapid response,Begin of Survey,FALSE,TRUE
Responsive,End of Survey,FALSE,TRUE
food,End of Survey,FALSE,FALSE
"I was contacted immediately, went in for a test drive and purchased the vehicle the next morning",Begin of Survey,FALSE,TRUE
Easy to submit my interest in the vehicle.,Begin of Survey,TRUE,FALSE
I was told what I needed and asked.,End of Survey,FALSE,TRUE
I did not request a quote,End of Survey,TRUE,FALSE
"quick response, we leased the vehicle",Begin of Survey,FALSE,TRUE
"I asked for an out the door quote  through email, and right off the bat some called me, failure to follow directions is a poor quality.that was sheet Ford in WARRENTON, va. So I bought a gmc,",Begin of Survey,TRUE,TRUE
Had to wait a while for response,Begin of Survey,FALSE,TRUE
It was good,End of Survey,FALSE,FALSE
"The dealership had no choices of any full size sedan vehicles. I was looking for a 2015 low miles one owner Ford Taurus.I received one email statingSORRY WE COULDN'T HELP !Even though I live close to this dealership,I am looking in a different area because I need a car as soon as possible.",End of Survey,FALSE,TRUE
Same as in my other responses. If i ask for a price on a specific optioned vehicle why cant i get a price? If i wanted a car off the floor id walk in and by one.,End of Survey,FALSE,TRUE
"I was going to buy a car that day, I had a bidding war between six different Ford dealers and you guys came out on top and I purchase a car from you",Begin of Survey,FALSE,TRUE
No one reached to me,End of Survey,FALSE,FALSE
Been using emails an response has been good,End of Survey,FALSE,TRUE
the original rep was too aggressive and badgered me.  I sought out a salesman in person at white plains Lincoln Galo Quinonez who guided me and matched my needs with a MKC.,End of Survey,FALSE,TRUE
It was very clear the steps and very easy to do.,Begin of Survey,FALSE,FALSE
This is so generic I really don't know what information you're asking me?,Begin of Survey,FALSE,FALSE
they got back with me,Begin of Survey,FALSE,FALSE
"Because I found another dealer for the vehicles that I purchased, that was much more personable.",Begin of Survey,FALSE,TRUE
no body from Cook Ford Has contacted me as of 8 23 18,End of Survey,FALSE,TRUE
pleasant polite,Begin of Survey,FALSE,TRUE
n/a,End of Survey,FALSE,FALSE
"I contact the manager and told her no one had called me. Ahe tokd me its Satirday, were busy, ill have someone call you. Its now Wednesday and nothing. Just horeible buisness!",End of Survey,FALSE,TRUE
There was a very prompt reply. The only thing is the person who replied did not know which car I was interested in. Looks like he did not receive a copy of the vehicle that I am interested in and he was asking what it was.,Begin of Survey,FALSE,TRUE
good service,Begin of Survey,FALSE,FALSE
seamless,End of Survey,FALSE,FALSE
Communication with dealership was Very good,End of Survey,FALSE,TRUE
"quick friendly, no hassle service",Begin of Survey,FALSE,TRUE
quick friend response,Begin of Survey,FALSE,TRUE
fast response gave options,Begin of Survey,FALSE,TRUE
didn't receive a call back quick enough,Begin of Survey,FALSE,TRUE
Because yall were there when I needed someone to talk to  I haven't as of yet but I plan to,Begin of Survey,FALSE,TRUE
"I had already been to dealergot reply from sales rep I saw that said, i sent you quote. was not very informative and he did not know the vehicle. I had to ask for a manager to get more info..",End of Survey,TRUE,TRUE
Salesman called me right off and scheduled an appointment.,Begin of Survey,FALSE,TRUE
Experience,End of Survey,FALSE,FALSE
i already have,End of Survey,FALSE,FALSE
good experience,End of Survey,FALSE,FALSE
"honest, fair, upfront",Begin of Survey,FALSE,FALSE
Accurate information presented,Begin of Survey,FALSE,FALSE
They responded right away,End of Survey,FALSE,TRUE
quick response online,Begin of Survey,TRUE,TRUE
Nothing went wrong the rigs were just too high for me now.,End of Survey,FALSE,FALSE
The sales team must not really care seeing as i have still not been contacted. Now i do not wish to be called.,End of Survey,FALSE,TRUE
Prompt and polite response,Begin of Survey,FALSE,TRUE
Upfront and honest,Begin of Survey,FALSE,FALSE
I'm unable to get a Mustang Bullitt at MSRP in San Diego,End of Survey,FALSE,FALSE
actually took to long to get a response,End of Survey,FALSE,TRUE
dealer rep was very helpful,End of Survey,FALSE,TRUE
Had no problems,End of Survey,FALSE,FALSE
I was contacted but haven't made it to the dealership yet.,Begin of Survey,FALSE,TRUE
Met my expectation,Begin of Survey,FALSE,FALSE
My question was not answered and the promised Info never came.,End of Survey,FALSE,TRUE
Time effective,End of Survey,FALSE,FALSE
good salesman,Begin of Survey,FALSE,TRUE
It is what it is,End of Survey,FALSE,FALSE
Very great customer service and representative.,Begin of Survey,FALSE,TRUE
Dealership went above and beyond to find me the car I wanted,End of Survey,FALSE,TRUE
The rep quickly responded in a professional manner,Begin of Survey,FALSE,TRUE
"Blake, I recall earlier you stated no vehicles were available in the Country to meet my requirements, is this still correct? Thanks, DaveNO REPLY RECEIVED!",End of Survey,FALSE,TRUE
"Prompt if also a little clumsy, but end deal was not good.  Sales mgr told me there were no dealer volume incentives from ford and that he couldn?t match another dealers price.  Another dealer saved me $4k",End of Survey,FALSE,TRUE
because they had a vehicle that I and my Wife are interested in,End of Survey,FALSE,FALSE
Great service,End of Survey,FALSE,FALSE
"Waiting for used f250 with low milage, possibly 2012 to 2014 model",Begin of Survey,FALSE,FALSE
"Although I initiated interaction via phone call interaction with dealer representative was timely , thorough and accurate. Felt we were a ""team""in determining the right vehicle and deal for me. Conversations were more like sharing relevant information rather than a sales pitch.",End of Survey,FALSE,TRUE
Received a email shortly after the request.,Begin of Survey,FALSE,FALSE
fast and professional with no pressure sales,End of Survey,FALSE,TRUE
Everyone was seem to be there to help us in our purchase.  We were greeted when we we arrived on the lot from everyone. It was just an overall very nice experience.,Begin of Survey,FALSE,FALSE
Timely and professional response,Begin of Survey,FALSE,TRUE
Customer service,Begin of Survey,FALSE,FALSE
Easy to follow,End of Survey,FALSE,FALSE
Awesome people,End of Survey,FALSE,TRUE
Lots of attention during contact eve though I?m at the research stage.,Begin of Survey,TRUE,FALSE
Took care of everything I needed at the time,Begin of Survey,FALSE,FALSE
I don't feel the dealership worked as hard for me as they could have.,End of Survey,FALSE,TRUE
Called me back,End of Survey,FALSE,TRUE
Quick Response,Begin of Survey,FALSE,TRUE
Got what i wanted,End of Survey,FALSE,FALSE
I got the truck I want at the price I want,End of Survey,FALSE,FALSE
Steve Weinburg reached out to me and gave me two alternate possibilities to what I was looking for.  Unfortunately he didn't have the exact vehicle.,Begin of Survey,FALSE,FALSE
could no produce a quote on lowest price,End of Survey,TRUE,FALSE
I got a prompt reply.,Begin of Survey,FALSE,TRUE
Everyone we communicated with at southwest ford was excellent to deal with and super fruendly,End of Survey,FALSE,FALSE
Prompt response with information i requested!,End of Survey,FALSE,TRUE
Quick response and bottom line price,End of Survey,FALSE,TRUE
This is for my wife.Received some of what requested .It was till we went to Gus Machado Ford of Kendall that we found all the information we need.,Begin of Survey,FALSE,FALSE
Easy process. Provided the info and help I was seeking.,Begin of Survey,FALSE,FALSE
"Did his job, answered my questions, started a search.",End of Survey,TRUE,TRUE
The person that contacted me was very professional and very knowledgeable and willing to help me with my questions and desires for the,Begin of Survey,FALSE,TRUE
n/a,End of Survey,FALSE,FALSE
Responsiveness,End of Survey,FALSE,TRUE
Contact,End of Survey,FALSE,FALSE
Met or exceeded all expectations,End of Survey,FALSE,FALSE
They attempted to reach me within 24 hours and left messages for me me as well as text messages and emails.,Begin of Survey,FALSE,FALSE
"Because my request was after hours, I received a response first thing in the morning. The sales department wasn't pushy, I appreciate that. Thank you.",End of Survey,FALSE,TRUE
It was easy and quick.,Begin of Survey,FALSE,FALSE
"The team at Bailey Bros always professional, courteous, no pressure",Begin of Survey,FALSE,TRUE
Sales folks were very informative.,Begin of Survey,FALSE,TRUE
Straight forward communication.,Begin of Survey,FALSE,FALSE
salespeople were very helpful,Begin of Survey,FALSE,TRUE
Already explained,End of Survey,FALSE,FALSE
Quick response,Begin of Survey,FALSE,TRUE
"Well, the first thing was the quick response. Second the quote was just what I asked for without any pressure. I appreciate the directness.",Begin of Survey,TRUE,TRUE
Well spoken and knowledgeable,Begin of Survey,FALSE,TRUE
Came to dealership walked around found the vehicle in the a plan we wanted no one approached us for help,End of Survey,FALSE,TRUE
Timely response,End of Survey,FALSE,TRUE
i got  what wanted,Begin of Survey,FALSE,FALSE
"The sales manager just wanted to sell cars on his lot, not find the vehicle I wanted.",End of Survey,FALSE,TRUE
I bought a car,End of Survey,FALSE,FALSE
dealer had no idea about the car I was interested in,End of Survey,FALSE,TRUE
All expectations were met.,End of Survey,FALSE,FALSE
There were no difficulties and instruictions were clear.,End of Survey,FALSE,FALSE
they call me and asked me what I was looking for.,Begin of Survey,FALSE,FALSE
dealership followed up with me. nothing spectacular,Begin of Survey,FALSE,TRUE
I requested information from Pines Ford and they never responded.,End of Survey,FALSE,TRUE
I  have never been contacted,End of Survey,FALSE,TRUE
It was nothing special:,Begin of Survey,FALSE,FALSE
I walked around lot on Sunday and reply to a price quote and have been talking or texting to Chris,Begin of Survey,TRUE,TRUE
non personal.  I was just searching,End of Survey,TRUE,TRUE
Everyone is a pleasure to deal with. Cavalier Ford had the car I needed.  I have been extremely pleased with the service I have received.  I would highly rate your dealership!!,Begin of Survey,FALSE,TRUE
The response was very quick and they followed up several times to questions I had,Begin of Survey,FALSE,TRUE
"Chris fyfe always goes above and beyond to help me out, great guy",Begin of Survey,FALSE,FALSE
Royce gave the information I requested without a bunch of BS,End of Survey,FALSE,FALSE
All questions were answered,End of Survey,FALSE,TRUE
It worked,Begin of Survey,FALSE,FALSE
Emailed for a price and got generic emails in return.... emailed another ford dealer the same day and got a price in 20 min,End of Survey,FALSE,TRUE
Never contacted.,End of Survey,FALSE,TRUE
quick response,End of Survey,FALSE,TRUE
Got no call back,End of Survey,FALSE,TRUE
"I received an email then tried calling the contact indicated, left a message to call me back. That was on /23/18. Still waiting.",End of Survey,FALSE,FALSE
Very good is high there?s always room for improvement. Although the team here was great to work with.,End of Survey,FALSE,FALSE
"Jeff Vazquez was quick to respond with all the information I specifically requested and didn't bombard me with additional mess I didn't inquire about.  He was an amazing car sales representative; he truly didn't fit the mold of what is deemed ""a car salesman"" that everyone dreads when purchasing a car.",End of Survey,FALSE,TRUE
They listen,End of Survey,FALSE,FALSE
Sales Rep was very helpful!,Begin of Survey,FALSE,TRUE
Response was prompt and courteous.  Price is response was $2k higher than with on line price advertised.,Begin of Survey,FALSE,TRUE
Couldn't get an answer for out the door price on a certain stock number.,End of Survey,FALSE,FALSE
THE FACT THEY GOT RIGHT BACK TI ME,Begin of Survey,FALSE,FALSE
Very easy to submit a request and dealer representative contacted me within minutes of my request.,Begin of Survey,TRUE,TRUE
got back within 48 hours,Begin of Survey,FALSE,FALSE
"I filled out all the information online, and then when I went into the dealership, the truck I looked at was ""sold earlier in the day"", and we went through the entire process as if I hadn't actually done anything online, complete with the negotiations on pricing.",Begin of Survey,TRUE,TRUE
"I got the info I asked for, it just didn?t work out for me",End of Survey,FALSE,FALSE
The internet gal that called me back was GREAT.....the sales guy not so much,End of Survey,TRUE,TRUE
Because I hoped to be able to get online much further without a personal interaction.,End of Survey,TRUE,TRUE
It was hard to see all the options that were on some of the vehicles,End of Survey,FALSE,FALSE
quick response,End of Survey,FALSE,TRUE
Im always leary of getting taken,End of Survey,FALSE,FALSE
It was good,End of Survey,FALSE,FALSE
Promo reply and follow-ups,Begin of Survey,FALSE,TRUE
Salesman worked very hard to find the perfect vehicle with all the features we desired.,Begin of Survey,FALSE,TRUE
Representatives are slightly obnoxious when contacting too persistently,Begin of Survey,FALSE,TRUE
The online salesman was nice in the beginning. Gave me a quote I was excited about. Then retracted his quote andvsaid that the sat I had driven was sold.,Begin of Survey,TRUE,TRUE
The dealer provided a quote on a timely basis,Begin of Survey,TRUE,TRUE
"they just sent a bunch of emails, stated they would call but never did.",Begin of Survey,FALSE,FALSE
Quick initial response,Begin of Survey,FALSE,TRUE
Dillon was very helpful and prompt and answered all of our questions quickly and accurately. He went out of his way to get us in to see a vehicle.,Begin of Survey,FALSE,TRUE
Annette the sales lady was very nice,Begin of Survey,FALSE,TRUE
I have already purchased a new vehicle Thank you for time.,Begin of Survey,FALSE,FALSE
I got my question answered,End of Survey,FALSE,TRUE
that is what I felt it deserved,Begin of Survey,FALSE,FALSE
Ease,Begin of Survey,FALSE,FALSE
"I was looking to purchase the vehicle communicating on line, I started to negotiate but didn?t feel like the dealer want to. The truck has been sitting on the lot since the end of March. I figured if they didn?t want to work a deal and be aggressive then this wasn?t the dealership I was going to work with.",Begin of Survey,FALSE,TRUE
I was responded to very quickly,Begin of Survey,FALSE,TRUE
Because of the time I saved doing a physical search! Able to determine which features each vehicle had so when I arrived at the dealership I knew which one I wanted to see.,End of Survey,TRUE,TRUE
I can see that I would have excellent service from this representative in the future.,End of Survey,FALSE,TRUE
I brough the truck,Begin of Survey,FALSE,FALSE
Jeff at Fischer AutoNation responded immediately,Begin of Survey,FALSE,TRUE
It was easy,End of Survey,FALSE,FALSE
Wendy replied to my email very quickly.,End of Survey,FALSE,TRUE
dependable,Begin of Survey,FALSE,FALSE
"Smooth, no pressure transaction",End of Survey,FALSE,FALSE
"Did not receive any ""ball park"" information via email before our appointment at the dealership and when we arrive the dealership staff had no idea about our number or our name.",End of Survey,FALSE,TRUE
Extremely fast response considering it was on Sunday,End of Survey,FALSE,TRUE
It was quick ... I would have preferred time to review before it was sent to the dealership as I'm sure I sent quite a few requests that were duplicated. Overall it turned out fine.,End of Survey,FALSE,TRUE
The gentleman was in high pressured answered my questions and responded within the hour,End of Survey,FALSE,TRUE
they wanted to sell me a truck for over $20K more than the MSRP,Begin of Survey,FALSE,FALSE
the service as good,Begin of Survey,FALSE,FALSE
Have not heard back yet been 3 days,End of Survey,FALSE,FALSE
