cx_q2,cx_flag,Question Placement,Web,Dealership
I requested e-mail contact onlyI received several calls so I ignored further attempts to contactNow I am looking at other vehicles. Prefer Escape but Now I need a real deal to buy Ford!,1,End of Survey,FALSE,TRUE
Was impressed on the speed I was contacted,1,End of Survey,FALSE,TRUE
Was first contacted within an hour.,2,Begin of Survey,FALSE,TRUE
Immediately responded to my request,2,Begin of Survey,FALSE,TRUE
It was easy to use and I was contacted immediately.   The online representative was very attentive to my request,2,Begin of Survey,TRUE,TRUE
Prompt response and comminication,2,Begin of Survey,FALSE,TRUE
tHE SALES PERSON LISTEN TO WHAT i TOLD HIM AND UNDERSTOOD FULLY MY POSITION AT THIS TIME AND DID NOT PRESSURE ME.,2,Begin of Survey,FALSE,TRUE
Quick response with detailed information at my convenience.,1,End of Survey,FALSE,TRUE
It was quick response.,1,End of Survey,FALSE,TRUE
They were very prompt in getting in touch with me and very courteous.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Quick reonse.,2,Begin of Survey,FALSE,FALSE
fast,1,End of Survey,FALSE,FALSE
Because the price and payments i was given were insane. I got the same exact vehicle for the same exact down payment you guys offered for $60 less per month. Thats also for the same length of lease and same yearly mileage. Thats a huge difference.,1,End of Survey,FALSE,FALSE
"Quick response time from my inquiry.  Superior presentation of the vehicle made it feel very personal and appealing.  No high pressure sales technique, passive  upsells made me feel like I was in control and not being steered into something I didn't want.  My salesperson, Frank, even gave me his card with his cellphone if I had additional questions.",1,End of Survey,FALSE,TRUE
Prompt and clear responses with no bs,1,End of Survey,FALSE,TRUE
Not a timely reply,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
"Its dependent on the receiving dealership. I found it most helpful when I learned to search which dealers have a Bullitt within 20 miles of me (and their options). That was helpful, then I could proceed much easier (even if the outcome is not good so far).",1,End of Survey,TRUE,TRUE
Prompt and courtous,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
They contacted me the same day as my request,2,Begin of Survey,FALSE,TRUE
Don?t want an immediate response,1,End of Survey,FALSE,TRUE
Ford is an excellent company looking out for my best interest and working hard to get me a great deal.,1,End of Survey,FALSE,FALSE
Never contacted,1,End of Survey,FALSE,TRUE
no call,1,End of Survey,FALSE,FALSE
Intial contact made but no follow up after I provided additional information.,1,End of Survey,FALSE,FALSE
contacted quickly,2,Begin of Survey,FALSE,TRUE
It was a bit difficult to get ro the right person at first.,2,Begin of Survey,FALSE,TRUE
"Very brief encounter with the dealership before I arrived to look at the car.  Was handed off from initial contact person to another sales person.  So, I go the information I requested, but had to start over with someone else.",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Very responsive,1,End of Survey,FALSE,TRUE
"Again, prompt response and good communication with sales rep",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Salesman called and offered help finding my truck,2,Begin of Survey,FALSE,TRUE
When I ask for a King Ranch I do not want an XL,2,Begin of Survey,FALSE,FALSE
fast follow up on the vehicles I was interested in.  In fact usually replyied in minutes.  Had vehicles in stock.  Had several vehicles of interest.  Price was in range through email communications so it warrented a drive to this dealership.,2,Begin of Survey,FALSE,TRUE
Polite and courteous staff.,1,End of Survey,FALSE,TRUE
Fast  call back,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
No follow up,1,End of Survey,FALSE,FALSE
Quick response.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Personal was very attentive and addressed all of our concerns.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Ford Company focused on the people not just the cars they are saling. I never had issues with Ford.,1,End of Survey,FALSE,TRUE
Received an immediate response from a Varsity Lincoln dealership rep.  She listened carefully and was very polite and understanding of my wishes.,2,Begin of Survey,FALSE,TRUE
"Prompt follow up, great info and got me scheduled to test drive the car I wanted",2,Begin of Survey,FALSE,TRUE
I received immediate response to inquiries including pix emailed to me of the car in question,2,Begin of Survey,FALSE,TRUE
"I built a specific 2018 vehicle online on ford website and the contact dealer chosen through the website was not given the specific build details. When I searched current ford stock, no vehicles were found online matching the specific build according to the website. So obviously I need to special order the vehicle.  I decided to walk into a ford dealership and showed them a printed copy of the 2018 build that I had done online. I was informed by a sales person that none are available and only 2019 models can be special ordered. They helped me build a 2019 model and priced it for me.",2,Begin of Survey,TRUE,TRUE
,2,Begin of Survey,FALSE,FALSE
Love the website and the Dealership.,2,Begin of Survey,TRUE,TRUE
The website was very confusing to me. Couldn't maneuver it well,2,Begin of Survey,TRUE,FALSE
The salesman did not do what he said he would do which was email me vehicle price and availability information even though I told him I'm ready to buy!,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
At this stage in the process I am pleased with the response from the Ford dealer,1,End of Survey,FALSE,TRUE
Easy clear instructions and contacted by sales immediately,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
I was never contacted by a rep from Silsbee Ford and have since purchased a new vehicle from Philpott Ford,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Fast response and efficient sale experience.,2,Begin of Survey,FALSE,TRUE
No contact what so ever,1,End of Survey,FALSE,FALSE
"Could not pin down an e-price, got a bit of a runaround, ended up at a different dealer",2,Begin of Survey,FALSE,TRUE
A rep got back to me immediately but I was busy,2,Begin of Survey,FALSE,TRUE
No good service,1,End of Survey,FALSE,FALSE
Overall it was an easy process and I got most of the information I was looking for,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Did get the car,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Outstanding performance A+,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Immediate response. Very knowledgeable.,2,Begin of Survey,FALSE,TRUE
It was just fine,2,Begin of Survey,FALSE,FALSE
i was satisfied,1,End of Survey,FALSE,FALSE
"I heard back from several sales reps by pone and two by e-mail. I really wanted to first see what the Ford Focus inventory looked like in the Cincinnati area but the ""Ford"" software makes me go trough a sales rep. So I pick one that prompt, closely and polite.",1,End of Survey,FALSE,TRUE
He respected my time and listened to my request,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"No options except new cars, looking for used 2013 on up",2,Begin of Survey,FALSE,FALSE
Quick response with good service,2,Begin of Survey,FALSE,TRUE
"Pat Marques provided us an excellent experience from initiation of our online request to finishing the deal and taking home the car we wanted with every detail we ere looking for. Pat was friendly, honest, sincere, and professional throughout our whole interaction with him. He had excellent follow-up and follow through and was super nice to our young boys that accompanied us as we searched for our new car. Would highly recommend Pat in a heartbeat.",2,Begin of Survey,TRUE,TRUE
,2,Begin of Survey,FALSE,FALSE
Quick response time and information provided was great.,2,Begin of Survey,FALSE,TRUE
Very nice salesman,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
The salesperson said she would get me a number on my trade and I didn't hear back until I contacted another salesperson about another vehicle.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Quick response,2,Begin of Survey,FALSE,TRUE
I had filled out a trade in value and used a new pickup as the vehicle that I wanting to get.  I visited the dealer on Monday of this week so maybe that is why they didn't contact me.   Auto park Ford had a great truck but just wouldn't give me enough for my Ranger.,1,End of Survey,TRUE,TRUE
,2,Begin of Survey,FALSE,FALSE
I never got yhe quote,1,End of Survey,TRUE,FALSE
"Well that would be because I  received excellent customer service,  I am very pleased with my experience.",1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Great service.  Armand was great!,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Got a quick response and all questions answered,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Received a response quickly.,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Quick response by a salesman (Cameron).  We learned a lot.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Nobody called me,1,End of Survey,FALSE,TRUE
Response time was very good.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Very easy way to submit the request.,2,Begin of Survey,TRUE,FALSE
,2,Begin of Survey,FALSE,FALSE
Good experience on all of it,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Everything i submitted was easy to do,2,Begin of Survey,TRUE,FALSE
,1,End of Survey,FALSE,FALSE
They were up front and cooperative the whole process,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
They answered very well. Pleasant,2,Begin of Survey,FALSE,TRUE
They said that I would have to drive 35 miles to go into their office to get a price.,2,Begin of Survey,FALSE,FALSE
tried to accommodate my busy schedule to arrange a test drive,2,Begin of Survey,FALSE,FALSE
Only talked on the phone not in person,2,Begin of Survey,FALSE,TRUE
Never was contacted by a Rep,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Roy Dooley,1,End of Survey,FALSE,FALSE
Everyone was very nice and helpful.,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
already did,1,End of Survey,FALSE,FALSE
"I was suppose to get an email confirmation detailing my conversations with both of the ""CHAT"" people that I conversed with and that did not happen.",1,End of Survey,FALSE,TRUE
N,1,End of Survey,FALSE,FALSE
Useful,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Because Toliver Ford always takes good care of me and gives me the best deal,2,Begin of Survey,FALSE,FALSE
"the response time was great I just wish I would have been told that the price on the internet was not correct and that that the real price was $10,000 higher then advertised",1,End of Survey,TRUE,TRUE
It was a great experience to get a new car,2,Begin of Survey,FALSE,FALSE
I was told right away what was happening,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Received a very rapid response,2,Begin of Survey,FALSE,TRUE
Responsive,1,End of Survey,FALSE,TRUE
food,1,End of Survey,FALSE,FALSE
"I was contacted immediately, went in for a test drive and purchased the vehicle the next morning",2,Begin of Survey,FALSE,TRUE
Easy to submit my interest in the vehicle.,2,Begin of Survey,TRUE,FALSE
I was told what I needed and asked.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
I did not request a quote,1,End of Survey,TRUE,FALSE
"quick response, we leased the vehicle",2,Begin of Survey,FALSE,TRUE
"I asked for an out the door quote  through email, and right off the bat some called me, failure to follow directions is a poor quality.that was sheet Ford in WARRENTON, va. So I bought a gmc,",2,Begin of Survey,TRUE,TRUE
Had to wait a while for response,2,Begin of Survey,FALSE,TRUE
It was good,1,End of Survey,FALSE,FALSE
"The dealership had no choices of any full size sedan vehicles. I was looking for a 2015 low miles one owner Ford Taurus.I received one email statingSORRY WE COULDN'T HELP !Even though I live close to this dealership,I am looking in a different area because I need a car as soon as possible.",1,End of Survey,FALSE,TRUE
Same as in my other responses. If i ask for a price on a specific optioned vehicle why cant i get a price? If i wanted a car off the floor id walk in and by one.,1,End of Survey,FALSE,TRUE
"I was going to buy a car that day, I had a bidding war between six different Ford dealers and you guys came out on top and I purchase a car from you",2,Begin of Survey,FALSE,TRUE
No one reached to me,1,End of Survey,FALSE,FALSE
Been using emails an response has been good,1,End of Survey,FALSE,TRUE
the original rep was too aggressive and badgered me.  I sought out a salesman in person at white plains Lincoln Galo Quinonez who guided me and matched my needs with a MKC.,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
It was very clear the steps and very easy to do.,2,Begin of Survey,FALSE,FALSE
This is so generic I really don't know what information you're asking me?,2,Begin of Survey,FALSE,FALSE
they got back with me,2,Begin of Survey,FALSE,FALSE
"Because I found another dealer for the vehicles that I purchased, that was much more personable.",2,Begin of Survey,FALSE,TRUE
no body from Cook Ford Has contacted me as of 8 23 18,1,End of Survey,FALSE,TRUE
pleasant polite,2,Begin of Survey,FALSE,TRUE
n/a,1,End of Survey,FALSE,FALSE
"I contact the manager and told her no one had called me. Ahe tokd me its Satirday, were busy, ill have someone call you. Its now Wednesday and nothing. Just horeible buisness!",1,End of Survey,FALSE,TRUE
There was a very prompt reply. The only thing is the person who replied did not know which car I was interested in. Looks like he did not receive a copy of the vehicle that I am interested in and he was asking what it was.,2,Begin of Survey,FALSE,TRUE
good service,2,Begin of Survey,FALSE,FALSE
seamless,1,End of Survey,FALSE,FALSE
Communication with dealership was Very good,1,End of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
"quick friendly, no hassle service",2,Begin of Survey,FALSE,TRUE
quick friend response,2,Begin of Survey,FALSE,TRUE
fast response gave options,2,Begin of Survey,FALSE,TRUE
didn't receive a call back quick enough,2,Begin of Survey,FALSE,TRUE
Because yall were there when I needed someone to talk to  I haven't as of yet but I plan to,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
"I had already been to dealergot reply from sales rep I saw that said, i sent you quote. was not very informative and he did not know the vehicle. I had to ask for a manager to get more info..",1,End of Survey,TRUE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Salesman called me right off and scheduled an appointment.,2,Begin of Survey,FALSE,TRUE
,2,Begin of Survey,FALSE,FALSE
Experience,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
i already have,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
good experience,1,End of Survey,FALSE,FALSE
"honest, fair, upfront",2,Begin of Survey,FALSE,FALSE
Accurate information presented,2,Begin of Survey,FALSE,FALSE
They responded right away,1,End of Survey,FALSE,TRUE
quick response online,2,Begin of Survey,TRUE,TRUE
Nothing went wrong the rigs were just too high for me now.,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
The sales team must not really care seeing as i have still not been contacted. Now i do not wish to be called.,1,End of Survey,FALSE,TRUE
Prompt and polite response,2,Begin of Survey,FALSE,TRUE
Upfront and honest,2,Begin of Survey,FALSE,FALSE
I'm unable to get a Mustang Bullitt at MSRP in San Diego,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
actually took to long to get a response,1,End of Survey,FALSE,TRUE
dealer rep was very helpful,1,End of Survey,FALSE,TRUE
Had no problems,1,End of Survey,FALSE,FALSE
I was contacted but haven't made it to the dealership yet.,2,Begin of Survey,FALSE,TRUE
Met my expectation,2,Begin of Survey,FALSE,FALSE
My question was not answered and the promised Info never came.,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Time effective,1,End of Survey,FALSE,FALSE
good salesman,2,Begin of Survey,FALSE,TRUE
It is what it is,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Very great customer service and representative.,2,Begin of Survey,FALSE,TRUE
Dealership went above and beyond to find me the car I wanted,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
The rep quickly responded in a professional manner,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
"Blake, I recall earlier you stated no vehicles were available in the Country to meet my requirements, is this still correct? Thanks, DaveNO REPLY RECEIVED!",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
"Prompt if also a little clumsy, but end deal was not good.  Sales mgr told me there were no dealer volume incentives from ford and that he couldn?t match another dealers price.  Another dealer saved me $4k",1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
because they had a vehicle that I and my Wife are interested in,1,End of Survey,FALSE,FALSE
Great service,1,End of Survey,FALSE,FALSE
"Waiting for used f250 with low milage, possibly 2012 to 2014 model",2,Begin of Survey,FALSE,FALSE
"Although I initiated interaction via phone call interaction with dealer representative was timely , thorough and accurate. Felt we were a ""team""in determining the right vehicle and deal for me. Conversations were more like sharing relevant information rather than a sales pitch.",1,End of Survey,FALSE,TRUE
Received a email shortly after the request.,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
fast and professional with no pressure sales,1,End of Survey,FALSE,TRUE
Everyone was seem to be there to help us in our purchase.  We were greeted when we we arrived on the lot from everyone. It was just an overall very nice experience.,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
Timely and professional response,2,Begin of Survey,FALSE,TRUE
Customer service,2,Begin of Survey,FALSE,FALSE
Easy to follow,1,End of Survey,FALSE,FALSE
Awesome people,1,End of Survey,FALSE,TRUE
Lots of attention during contact eve though I?m at the research stage.,2,Begin of Survey,TRUE,FALSE
Took care of everything I needed at the time,2,Begin of Survey,FALSE,FALSE
I don't feel the dealership worked as hard for me as they could have.,1,End of Survey,FALSE,TRUE
Called me back,1,End of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Quick Response,2,Begin of Survey,FALSE,TRUE
Got what i wanted,1,End of Survey,FALSE,FALSE
I got the truck I want at the price I want,1,End of Survey,FALSE,FALSE
Steve Weinburg reached out to me and gave me two alternate possibilities to what I was looking for.  Unfortunately he didn't have the exact vehicle.,2,Begin of Survey,FALSE,FALSE
could no produce a quote on lowest price,1,End of Survey,TRUE,FALSE
I got a prompt reply.,2,Begin of Survey,FALSE,TRUE
Everyone we communicated with at southwest ford was excellent to deal with and super fruendly,1,End of Survey,FALSE,FALSE
Prompt response with information i requested!,1,End of Survey,FALSE,TRUE
Quick response and bottom line price,1,End of Survey,FALSE,TRUE
This is for my wife.Received some of what requested .It was till we went to Gus Machado Ford of Kendall that we found all the information we need.,2,Begin of Survey,FALSE,FALSE
Easy process. Provided the info and help I was seeking.,2,Begin of Survey,FALSE,FALSE
"Did his job, answered my questions, started a search.",1,End of Survey,TRUE,TRUE
The person that contacted me was very professional and very knowledgeable and willing to help me with my questions and desires for the,2,Begin of Survey,FALSE,TRUE
n/a,1,End of Survey,FALSE,FALSE
Responsiveness,1,End of Survey,FALSE,TRUE
Contact,1,End of Survey,FALSE,FALSE
Met or exceeded all expectations,1,End of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
They attempted to reach me within 24 hours and left messages for me me as well as text messages and emails.,2,Begin of Survey,FALSE,FALSE
"Because my request was after hours, I received a response first thing in the morning. The sales department wasn't pushy, I appreciate that. Thank you.",1,End of Survey,FALSE,TRUE
It was easy and quick.,2,Begin of Survey,FALSE,FALSE
,2,Begin of Survey,FALSE,FALSE
"The team at Bailey Bros always professional, courteous, no pressure",2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Sales folks were very informative.,2,Begin of Survey,FALSE,TRUE
Straight forward communication.,2,Begin of Survey,FALSE,FALSE
salespeople were very helpful,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
Already explained,1,End of Survey,FALSE,FALSE
Quick response,2,Begin of Survey,FALSE,TRUE
"Well, the first thing was the quick response. Second the quote was just what I asked for without any pressure. I appreciate the directness.",2,Begin of Survey,TRUE,TRUE
,2,Begin of Survey,FALSE,FALSE
,1,End of Survey,FALSE,FALSE
Well spoken and knowledgeable,2,Begin of Survey,FALSE,TRUE
,1,End of Survey,FALSE,FALSE
